"name","?column?","context","type","order","status"
"The Team","The Team","global","App\Models\Snippet",0,"published"
"The Community","The Community","global","App\Models\Snippet",0,"published"
"Contribute Content","Contribute Content","global","App\Models\Snippet",0,"published"
"Insights","Insights","global","App\Models\Snippet",0,"published"
"The future is for everyone","The future is for everyone","global","App\Models\Snippet",0,"published"
"Library","Library","global","App\Models\Snippet",0,"published"
"The Pool","The Pool","global","App\Models\Snippet",0,"published"
"How to Stake ADA","How to Stake ADA","global","App\Models\Snippet",0,"published"
"Community","Community","global","App\Models\Snippet",0,"published"
"About Us","About Us","global","App\Models\Snippet",0,"published"
"Privacy Policy","Privacy Policy","global","App\Models\Snippet",0,"published"
"Pool Tool","Pool Tool","global","App\Models\Snippet",0,"published"
"moreInsights","More Insights","global","App\Models\Snippet",0,"published"
"iAgreeToTheTOS","I agree to the :terms_of_service and :privacy_policy","global","App\Models\Snippet",0,"published"
"News","News","global","App\Models\Snippet",0,"published"
"Learning Resources","Learning Resources","global","App\Models\Snippet",0,"published"
"Portal","Portal","global","App\Models\Snippet",0,"published"
"The Future","The Future","global","App\Models\Snippet",0,"published"
"is for","is for","global","App\Models\Snippet",0,"published"
"Everyone","Everyone","global","App\Models\Snippet",0,"published"
"Blockchain Technology","Blockchain Technology","global","App\Models\Snippet",0,"published"
"Finance","Finance","global","App\Models\Snippet",0,"published"
"Governing","Governing","global","App\Models\Snippet",0,"published"
"Identity","Identity","global","App\Models\Snippet",0,"published"
"Property","Property","global","App\Models\Snippet",0,"published"
"secs","secs","global","App\Models\Snippet",0,"published"
"top","Top","global","App\Models\Snippet",0,"published"
"Is a Cardano staking pool","Is a Cardano staking pool","global","App\Models\Snippet",0,"published"
"Staking Pools","Staking Pools","global","App\Models\Snippet",0,"published"
"Our pool ticker is LIDO","Our pool ticker is LIDO","global","App\Models\Snippet",0,"published"
"Cardano uses a network of “Staking Pools” to operate","Cardano uses a network of “Staking Pools” to operate","global","App\Models\Snippet",0,"published"
"From our library","From our library","global","App\Models\Snippet",0,"published"
"Contracts","Contracts","global","App\Models\Snippet",0,"published"
"Cardano","Cardano","global","App\Models\Snippet",0,"published"
"ada","ADA","global","App\Models\Snippet",0,"published"
"someThingsToRemember","Some things to remember","global","App\Models\Snippet",0,"published"
"Pools validate network transactions","Pools validate network transactions","global","App\Models\Snippet",0,"published"
"Shared responsibility creates a secure network","Shared responsibility creates a secure network","global","App\Models\Snippet",0,"published"
"Our community","Our community","global","App\Models\Snippet",0,"published"
"Contributors","Contributors","global","App\Models\Snippet",0,"published"
"Leave a comment","Leave a comment","global","App\Models\Snippet",0,"published"
"Delegates","Delegates","global","App\Models\Snippet",0,"published"
"Causes Fund","Causes Fund","global","App\Models\Snippet",0,"published"
"Expand","Expand","global","App\Models\Snippet",0,"published"
"Recent Funding Rounds","Recent Funding Rounds","global","App\Models\Snippet",0,"published"
"Blocks","Blocks","global","App\Models\Snippet",0,"published"
"How To Stake Your ADA","How To Stake Your ADA","global","App\Models\Snippet",0,"published"
"Total Staked Addresses","Total Staked Addresses","global","App\Models\Snippet",0,"published"
"Paid to Delegates","Paid to Delegates","global","App\Models\Snippet",0,"published"
"Founders Pledge","Founders Pledge","global","App\Models\Snippet",0,"published"
"Start a conversation","Start a conversation","global","App\Models\Snippet",0,"published"
"LIDO Stats","LIDO Stats","global","App\Models\Snippet",0,"published"
"New to Cardano","New to Cardano","global","App\Models\Snippet",0,"published"
"Name","Name","global","App\Models\Snippet",0,"published"
"Type your comment","Type your comment","global","App\Models\Snippet",0,"published"
"Cardano & Crypto News","Cardano & Crypto News","global","App\Models\Snippet",0,"published"
"Friday Lunch","Friday Lunch","global","App\Models\Snippet",0,"published"
"Next Meeting","Next Meeting","global","App\Models\Snippet",0,"published"
"Join Zoom Call","Join Zoom Call","global","App\Models\Snippet",0,"published"
"Post comment","Post comment","global","App\Models\Snippet",0,"published"
"Getting Started","Getting Started","global","App\Models\Snippet",0,"published"
