Ideascale link,Project Website,Youtube link
https://cardano.ideascale.com/c/idea/103484,https://www.andamio.io/,https://youtu.be/aSlNRebLDwg
https://cardano.ideascale.com/c/idea/104780,https://www.andamio.io/,https://youtu.be/4kuNSS5a5W0
https://cardano.ideascale.com/c/idea/105679,https://www.andamio.io/,https://youtu.be/xJ2cJ0w9Zws
https://cardano.ideascale.com/c/idea/106731,https://www.andamio.io/,https://youtu.be/zDu_-ZkKM98
https://cardano.ideascale.com/c/idea/106355,https://www.andamio.io/,https://youtu.be/I6tj1cJ_6B8
https://cardano.ideascale.com/c/idea/104999,https://www.andamio.io/,https://youtu.be/CTOUkE5S398
https://cardano.ideascale.com/c/idea/103253,https://resi.works/,https://youtu.be/yZfW60AY4WA
https://cardano.ideascale.com/c/idea/103262,https://resi.works/,https://youtu.be/3CZx1J7BepA
https://cardano.ideascale.com/c/idea/103265,https://resi.works/,https://youtu.be/h8Jonc-99K4
https://cardano.ideascale.com/c/idea/102624,https://resi.works/,https://youtu.be/VZ0-CpelSKs
https://cardano.ideascale.com/c/idea/102993,https://photrek.io ,https://youtu.be/iBJMHjcCKnU
https://cardano.ideascale.com/c/idea/104446,https://2b3d.com/,https://youtu.be/PXZoFVXjZgc
https://cardano.ideascale.com/c/idea/102532,www.xerberus.io,https://youtu.be/WORP2ZelVmY
https://cardano.ideascale.com/c/idea/107013,aikiwiki.com,https://youtu.be/3M-JFJz0T7M
https://cardano.ideascale.com/c/idea/102640 ,https://kingsolomon.edu.vn,https://youtu.be/B-rntaLF67s
https://cardano.ideascale.com/c/idea/104995,,https://youtu.be/m7_Blah86uc
https://cardano.ideascale.com/c/idea/106766,,https://youtu.be/61pi0d2OBHE
https://cardano.ideascale.com/c/idea/103484,https://www.andamio.io/,https://youtu.be/3LJAtATMUp0
https://cardano.ideascale.com/c/idea/106937,,https://youtu.be/Gvnau_2SEm8
https://cardano.ideascale.com/c/idea/105945,https://studentreader.io,https://youtu.be/8N8VAYTIrsY
https://cardano.ideascale.com/c/idea/103906,https://studentreader.io,https://youtu.be/c2CYkdF-j-U
https://cardano.IdeaScale.com/c/idea/105120,https://studentreader.io/,https://youtu.be/tB0-_FkKKzg
https://cardano.ideascale.com/c/idea/105123,https://studentreader.io,https://youtu.be/KDm-ADTj9PU
https://cardano.ideascale.com/c/idea/104679,,https://youtu.be/hm9JocbMGAI
https://cardano.ideascale.com/c/idea/101078,https://discord.com/invite/fe5JCGwrcr,https://youtu.be/gYtjrzjnrK8
https://cardano.ideascale.com/c/idea/106104,https://miverse.io,https://youtu.be/JrpPm9CRSGw
https://cardano.ideascale.com/c/idea/106775,www.txpipe.io,https://youtu.be/2iHVWN6Il3s
https://cardano.ideascale.com/c/idea/104281,https://youtu.be/uVY5fRDX2fw,https://youtu.be/7p20W-ISvos
https://cardano.ideascale.com/c/idea/107300,https://gadiac.asia/whiteboardcardano/,https://youtu.be/6fIIrq9dGaU
